x,y
-14380,17120
-14381,17116
-14381,17110
-14380,17107
-14378,17102
-14376,17098
-14372,17093
-14363,17086
-14352,17080
-14321,17069
-14272,17069
-14242,17074
-14219,17082
-14206,17090
-14195,17099
-14187,17109
-14181,17119
-14177,17130
-14175,17143
-14175,17160
-14178,17178
-14183,17193
-14191,17207
-14203,17222
-14225,17241
-14263,17263
-14356,17297
-14431,17310
-14453,17310
-14464,17308
-14471,17306
-14478,17302
-14481,17300
-14484,17297
-14486,17294
-14488,17290
-14489,17284
-14489,17279
-14488,17274
-14487,17271
-14484,17267
-14481,17264
-14475,17259
-14466,17254
-14438,17244
-14385,17244
-14352,17250
-14315,17263
-14300,17272
-14288,17282
-14280,17292
-14273,17304
-14270,17313
-14268,17327
-14268,17340
-14270,17353
-14275,17366
-14284,17382
-14298,17399
-14316,17414
-14352,17435
-14449,17470
-14536,17485
-14553,17485
-14558,17484
-14565,17481
-14569,17479
-14575,17474
-14579,17470
-14581,17466
-14583,17460
-14584,17456
-14584,17453
-14584,17451
-14583,17447
-14581,17443
-14579,17441
-14572,17435
-14561,17429
-14531,17418
-14470,17418
-14438,17424
-14413,17433
-14390,17446
-14363,17468
-14334,17503
-14326,17516
-14322,17528
-14320,17542
-14320,17557
-14323,17574
-14329,17591
-14339,17608
-14352,17624
-14375,17643
-14415,17666
-14525,17706
-14560,17712
-14567,17712
-14574,17711
-14581,17709
-14584,17707
-14584,17707
-14585,17706
-14586,17705
-14587,17702
-14587,17701
-14587,17698
-14587,17696
-14586,17693
-14585,17692
-14583,17690
-14579,17687
-14571,17683
-14550,17676
-14493,17676
-14459,17682
-14438,17690
-14420,17700
-14406,17712
-14391,17730
-14374,17759
-14345,17840
-14342,17859
-14342,17872
-14345,17889
-14352,17907
-14364,17928
-14382,17950
-14415,17978
-14511,18034
-14556,18050
-14568,18052
-14577,18052
-14580,18051
-14584,18049
-14587,18047
-14588,18046
-14590,18044
-14592,18041
-14593,18039
-14593,18039
-14593,18037
-14592,18033
-14590,18029
-14586,18023
-14580,18016
-14571,18009
-14551,17998
-14497,17998
-14465,18004
-14442,18012
-14425,18022
-14415,18030
-14407,18040
-14401,18050
-14397,18060
-14395,18072
-14395,18256
-14402,18294
-14412,18322
-14423,18341
-14437,18358
-14461,18379
-14496,18399
-14609,18440
-14666,18450
-14680,18450
-14686,18449
-14694,18446
-14700,18442
-14703,18439
-14707,18434
-14708,18432
-14709,18429
-14709,18426
-14709,18424
-14708,18420
-14706,18415
-14703,18410
-14701,18408
-14696,18404
-14686,18398
-14656,18387
-14601,18387
-14574,18392
-14551,18400
-14535,18409
-14524,18418
-14515,18429
-14508,18441
-14504,18453
-14502,18463
-14502,18473
